ID,DAY,TIME_OF DAY,EXACT_TIME(H:M),WEATHER,GRID,CORNER,HEIGHT,NO_OF_PERSONS,WINDOWS_OPEN,HUMIDITY,TEMP_CELCIUS
193,2,MORNING,8:36,CLOUDY,A,A1,LOW,1.0,4,0.77,23.5
194,2,MORNING,8:34,CLOUDY,A,A1,HIGH,3.0,4,0.71,23.9
195,2,MORNING,8:41,CLOUDY,A,A2,LOW,1.0,4,0.78,24.6
196,2,MORNING,8:37,CLOUDY,A,A2,HIGH,1.0,4,0.68,23.6
197,2,MORNING,8:36,CLOUDY,A,A3,LOW,1.0,4,0.71,22.5
198,2,MORNING,8:41,CLOUDY,A,A3,HIGH,1.0,4,0.57,24.5
199,2,MORNING,8:36,CLOUDY,A,A4,LOW,3.0,4,0.71,24.3
200,2,MORNING,8:38,CLOUDY,A,A4,HIGH,3.0,4,0.67,25.5
201,2,MORNING,8:36,CLOUDY,B,B1,LOW,3.0,4,0.71,23.8
202,2,MORNING,8:39,CLOUDY,B,B1,HIGH,5.0,4,0.78,25.3
203,2,MORNING,8:43,CLOUDY,B,B2,LOW,5.0,4,0.7,23.1
204,2,MORNING,8:38,CLOUDY,B,B2,HIGH,4.0,4,0.64,23.7
205,2,MORNING,8:41,CLOUDY,B,B3,LOW,4.0,4,0.59,23.2
206,2,MORNING,8:41,CLOUDY,B,B3,HIGH,4.0,4,0.66,25.0
207,2,MORNING,8:45,CLOUDY,B,B4,LOW,3.0,4,0.7,25.3
208,2,MORNING,8:46,CLOUDY,B,B4,HIGH,4.0,4,0.67,24.3
209,2,MORNING,8:48,CLOUDY,C,C1,LOW,2.0,1,0.73,24.7
210,2,MORNING,8:43,CLOUDY,C,C1,HIGH,4.0,1,0.66,23.8
211,2,MORNING,8:49,CLOUDY,C,C2,LOW,2.0,1,0.6,24.9
212,2,MORNING,8:49,CLOUDY,C,C2,HIGH,4.0,1,0.76,25.0
213,2,MORNING,8:51,CLOUDY,C,C3,LOW,3.0,1,0.74,24.8
214,2,MORNING,8:49,CLOUDY,C,C3,HIGH,4.0,1,0.77,24.6
215,2,MORNING,8:55,CLOUDY,C,C4,LOW,4.0,1,0.69,25.3
216,2,MORNING,8:54,CLOUDY,C,C4,HIGH,4.0,1,0.73,24.0
217,2,MORNING,8:49,CLOUDY,D,D1,LOW,6.0,1,0.72,24.8
218,2,MORNING,8:51,CLOUDY,D,D1,HIGH,5.0,1,0.72,23.2
219,2,MORNING,8:58,CLOUDY,D,D2,LOW,4.0,1,0.65,23.6
220,2,MORNING,8:50,CLOUDY,D,D2,HIGH,5.0,1,0.74,24.9
221,2,MORNING,8:54,CLOUDY,D,D3,LOW,5.0,1,0.66,24.6
222,2,MORNING,8:56,CLOUDY,D,D3,HIGH,4.0,1,0.66,23.7
223,2,MORNING,8:59,CLOUDY,D,D4,LOW,7.0,1,0.77,23.8
224,2,MORNING,9:00,CLOUDY,D,D4,HIGH,7.0,1,0.7,23.8
225,2,MORNING,9:00,CLOUDY,E,E1,LOW,3.0,1,0.68,23.8
226,2,MORNING,9:00,CLOUDY,E,E1,HIGH,4.0,1,0.72,23.5
227,2,MORNING,9:01,CLOUDY,E,E2,LOW,2.0,1,0.7,23.9
